train_loss,val_loss,val_acc
0.5794375591418323,0.439464271068573,0.8089887499809265
0.4310814508182161,0.4179030954837799,0.8370786309242249
0.43169668974245295,0.41449686884880066,0.8258426785469055
0.4176522484597038,0.4581785798072815,0.8202247023582458
0.4010096161681063,0.4100974500179291,0.8539325594902039
0.3895974132944556,0.4116690456867218,0.8370786309242249
0.38140303071807413,0.425371915102005,0.8370786309242249
0.3771948963403702,0.427348792552948,0.8426966071128845
0.39477287714972215,0.4383026361465454,0.8370786309242249
0.39693160223610263,0.4322739541530609,0.8202247023582458
0.3780909767922233,0.4300879240036011,0.8483145833015442
0.37720244377851486,0.43868881464004517,0.8146067261695862
0.3516868234557264,0.44962427020072937,0.8258426785469055
0.3628097851486767,0.4535168707370758,0.8370786309242249
0.36117129772901535,0.4602140784263611,0.8483145833015442
0.35201704502105713,0.4600444436073303,0.8483145833015442
0.33519868947127285,0.4604698717594147,0.8370786309242249
0.3541145653409116,0.4732391834259033,0.8539325594902039
0.3429282373365234,0.5332435965538025,0.8258426785469055
0.3297286195790066,0.4514276683330536,0.8595505356788635
